date,tag,team,kind,market,open_ml,close_ml,clv_pts,won,profit_1u,slip_id,slip_odds,slip_result,joint_prob,correlation,line,edge_pct,home,away,pick,pitcher,home_pitcher,away_pitcher,odds,model_prob,edge,qualifies,timestamp,kelly_stake_pct,abbr_home,abbr_away,abbr_pick,c_team_edge,c_pitcher_fip_edge,c_pitcher_era_edge,c_pitcher_whip_edge,c_pitcher_k9_edge,c_offense_edge,c_bullpen_edge,c_season_form_edge,c_h2h_edge,c_weather_edge,c_rest_edge,c_lineup_edge,c_injury_edge,c_fatigue_edge,slip_leg_num,slip_leg_count
2026-07-09,,,,,,,,,,,,,,,,,Chicago White Sox,Athletics,Chicago White Sox,,TBD,TBD,-146.0,95.9,36.6,,2026-07-09T19:51:41.162922,,CWS,OAK,CWS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Texas Rangers,Houston Astros,Texas Rangers,TBD,TBD,TBD,114.0,70.2,23.5,True,2026-07-09T19:51:44.298242,11.02,TEX,HOU,TEX,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Texas Rangers,Houston Astros,Texas Rangers,,TBD,TBD,114.0,70.2,23.5,,2026-07-09T19:51:44.304776,,TEX,HOU,TEX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Minnesota Twins,Los Angeles Angels,Minnesota Twins,TBD,TBD,TBD,-124.0,91.5,36.1,True,2026-07-09T19:51:47.704516,20.23,MIN,LAA,MIN,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Minnesota Twins,Los Angeles Angels,Minnesota Twins,,TBD,TBD,-124.0,91.5,36.1,,2026-07-09T19:51:47.711142,,MIN,LAA,MIN,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,St. Louis Cardinals,Atlanta Braves,Atlanta Braves,TBD,TBD,TBD,-137.0,67.4,9.4,True,2026-07-09T19:51:50.579980,5.69,STL,ATL,ATL,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,St. Louis Cardinals,Atlanta Braves,Atlanta Braves,,TBD,TBD,-137.0,67.4,9.4,,2026-07-09T19:51:50.586790,,STL,ATL,ATL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,San Diego Padres,Toronto Blue Jays,Toronto Blue Jays,TBD,TBD,TBD,112.0,55.7,8.5,True,2026-07-09T19:51:53.779004,4.04,SD,TOR,TOR,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,San Diego Padres,Toronto Blue Jays,Toronto Blue Jays,,TBD,TBD,112.0,55.7,8.5,,2026-07-09T19:51:53.785667,,SD,TOR,TOR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,TBD,TBD,TBD,-255.0,99.4,27.5,True,2026-07-09T19:51:57.641502,24.42,LAD,ARI,LAD,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,,TBD,TBD,-255.0,99.4,27.5,,2026-07-09T19:51:57.648167,,LAD,ARI,LAD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,San Francisco Giants,Colorado Rockies,San Francisco Giants,TBD,Carson Whisenhunt,Ryan Feltner,-158.0,90.2,29.0,True,2026-07-09T19:51:57.990823,18.68,SF,COL,SF,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,San Francisco Giants,Colorado Rockies,San Francisco Giants,,Carson Whisenhunt,Ryan Feltner,-158.0,90.2,29.0,,2026-07-09T19:51:57.997435,,SF,COL,SF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Detroit Tigers,Athletics,Detroit Tigers,TBD,Framber Valdez,José Suarez,-5000.0,94.2,-3.9,True,2026-07-09T20:34:36.813726,0.0,DET,OAK,DET,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Detroit Tigers,Athletics,Detroit Tigers,,Framber Valdez,José Suarez,-5000.0,94.2,-3.9,,2026-07-09T20:34:36.822739,,DET,OAK,DET,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Miami Marlins,Seattle Mariners,Seattle Mariners,TBD,Janson Junk,Bryce Miller,5999.0,92.2,90.5,True,2026-07-09T20:34:38.819734,23.01,MIA,SEA,SEA,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Miami Marlins,Seattle Mariners,Seattle Mariners,,Janson Junk,Bryce Miller,5999.0,92.2,90.5,,2026-07-09T20:34:38.826623,,MIA,SEA,SEA,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,TBD,Brady Singer,Jesús Luzardo,148.0,100.0,59.7,True,2026-07-09T20:34:41.134665,25.0,CIN,PHI,PHI,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Cincinnati Reds,Philadelphia Phillies,Philadelphia Phillies,,Brady Singer,Jesús Luzardo,148.0,100.0,59.7,,2026-07-09T20:34:41.141679,,CIN,PHI,PHI,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,TBD,Andre Pallante,Logan Henderson,-1400.0,100.0,6.7,True,2026-07-09T20:34:43.329568,25.0,STL,MIL,MIL,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,St. Louis Cardinals,Milwaukee Brewers,Milwaukee Brewers,,Andre Pallante,Logan Henderson,-1400.0,100.0,6.7,,2026-07-09T20:34:43.336262,,STL,MIL,MIL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Texas Rangers,Los Angeles Angels,Texas Rangers,TBD,Nathan Eovaldi,Reid Detmers,-500.0,53.7,-29.7,True,2026-07-09T20:34:45.595834,0.0,TEX,LAA,TEX,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Texas Rangers,Los Angeles Angels,Texas Rangers,,Nathan Eovaldi,Reid Detmers,-500.0,53.7,-29.7,,2026-07-09T20:34:45.602533,,TEX,LAA,TEX,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,San Diego Padres,Arizona Diamondbacks,San Diego Padres,TBD,Griffin Canning,Merrill Kelly,-126.0,94.0,38.3,True,2026-07-09T20:34:47.662565,21.63,SD,ARI,SD,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,San Diego Padres,Arizona Diamondbacks,San Diego Padres,,Griffin Canning,Merrill Kelly,-126.0,94.0,38.3,,2026-07-09T20:34:47.669215,,SD,ARI,SD,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,San Francisco Giants,Colorado Rockies,San Francisco Giants,TBD,Carson Whisenhunt,Ryan Feltner,-126.0,90.0,34.2,True,2026-07-09T20:34:49.872785,19.34,SF,COL,SF,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,San Francisco Giants,Colorado Rockies,San Francisco Giants,,Carson Whisenhunt,Ryan Feltner,-126.0,90.0,34.2,,2026-07-09T20:34:49.879514,,SF,COL,SF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Detroit Tigers,Philadelphia Phillies,Detroit Tigers,TBD,TBD,TBD,-120.0,88.8,34.3,True,2026-07-09T20:34:50.756200,18.85,DET,PHI,DET,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Detroit Tigers,Philadelphia Phillies,Detroit Tigers,,TBD,TBD,-120.0,88.8,34.3,,2026-07-09T20:34:50.764095,,DET,PHI,DET,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,TBD,TBD,TBD,-142.0,50.6,-8.1,True,2026-07-09T20:34:52.584725,0.0,PIT,MIL,PIT,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Pittsburgh Pirates,Milwaukee Brewers,Pittsburgh Pirates,,TBD,TBD,-142.0,50.6,-8.1,,2026-07-09T20:34:52.591537,,PIT,MIL,PIT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Washington Nationals,New York Yankees,New York Yankees,TBD,TBD,TBD,-136.0,52.0,-5.6,True,2026-07-09T20:34:54.681686,0.0,WSH,NYY,NYY,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Washington Nationals,New York Yankees,New York Yankees,,TBD,TBD,-136.0,52.0,-5.6,,2026-07-09T20:34:54.688475,,WSH,NYY,NYY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Baltimore Orioles,Kansas City Royals,Baltimore Orioles,TBD,TBD,TBD,-152.0,82.3,22.0,True,2026-07-09T20:34:56.828261,13.85,BAL,KC,BAL,,,,,,,,,,,,,,,,
2026-07-09,,,,,,,,,,,,,,,,,Baltimore Orioles,Kansas City Royals,Baltimore Orioles,,TBD,TBD,-152.0,82.3,22.0,,2026-07-09T20:34:56.835400,,BAL,KC,BAL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Cincinnati Reds,Chicago Cubs,Chicago Cubs,TBD,TBD,TBD,108.0,83.3,35.2,True,2026-07-09T20:34:57.993719,16.94,CIN,CHC,CHC,,,,,,,,,,,,,,,,
